#1_PESD18VF1BL_POS at 60 V_x,#1_PESD18VF1BL_POS at 60 V_y,#1_PESD18VF1BL_POS at 200 V_x,#1_PESD18VF1BL_POS at 200 V_y,#1_PESD18VF1BL_POS at 500 V_x,#1_PESD18VF1BL_POS at 500 V_y
-0.0000000005,0.8395391469,-0.0000000005,-2.7054405502,-0.0000000005,-2.2124498958
-0.0000000005,-0.8099652089,-0.0000000005,-1.3593131079,-0.0000000005,-3.1419499765
-0.0000000004,-0.7918114192,-0.0000000004,0.2654991376,-0.0000000004,-2.1426614428
-0.0000000004,-0.2422719306,-0.0000000004,2.1319578824,-0.0000000004,4.3682816049
-0.0000000003,-0.1264185658,-0.0000000003,1.6238358510,-0.0000000003,5.3959413156
-0.0000000003,0.1643916271,-0.0000000003,0.6890506814,-0.0000000003,-1.2080552901
-0.0000000002,0.3578155899,-0.0000000002,-1.2803545835,-0.0000000002,-1.5607167854
-0.0000000002,1.0115342931,-0.0000000002,-3.4919015381,-0.0000000002,-3.5489568258
-0.0000000001,-0.0537018131,-0.0000000001,-1.9013704536,-0.0000000001,-0.4450423781
-0.0000000001,-0.7936609194,-0.0000000001,0.7863422464,-0.0000000001,-0.1849764286
0.,0.2928187263,0.,3.6344231018,0.,2.0063716585
0.0000000001,-0.5865599080,0.0000000001,2.4797294944,0.0000000001,3.9726776931
0.0000000001,-0.1181458959,0.0000000001,-1.2957488104,0.0000000001,0.8355047397
0.0000000002,0.5046700619,0.0000000002,-3.8473012803,0.0000000002,-5.3392942851
0.0000000002,1.9179463688,0.0000000002,-2.7252000883,0.0000000002,-9.9778647860
0.0000000003,3.16622774,0.0000000003,7.0247730822,0.0000000003,2.5031492144
0.0000000003,5.0713589513,0.0000000003,24.6438876652,0.0000000003,24.7356725676
0.0000000004,11.8843064374,0.0000000004,43.9700857566,0.0000000004,48.7996897363
0.0000000004,19.9206740368,0.0000000004,59.6524663752,0.0000000004,70.8630391656
0.0000000005,31.2762223139,0.0000000005,60.8974193186,0.0000000005,80.0974623842
0.0000000005,43.4694634708,0.0000000005,53.3724135215,0.0000000005,76.1261534415
0.0000000006,49.4177805936,0.0000000006,39.3245402672,0.0000000006,62.6233242261
0.0000000006,50.9884792460,0.0000000006,24.6216431981,0.0000000006,44.2719961436
0.0000000007,46.6675290371,0.0000000007,18.3851237516,0.0000000007,31.9909287828
0.0000000007,40.0096127891,0.0000000007,18.4229001287,0.0000000007,30.8498887267
0.0000000008,33.5069387398,0.0000000008,22.8101840233,0.0000000008,34.7067157880
0.0000000008,28.3498251796,0.0000000008,27.3581231067,0.0000000008,37.0489837221
0.0000000009,26.7478655299,0.0000000009,28.1918501117,0.0000000009,35.6149993431
0.0000000009,26.8223598766,0.0000000009,22.5023689986,0.0000000009,32.6077465495
0.000000001,28.4890428803,0.000000001,17.6457338419,0.000000001,27.9697454751
0.0000000010,25.8550540836,0.0000000010,15.9923785652,0.0000000010,23.9053781769
0.0000000011,22.3277432810,0.0000000011,17.065642238,0.0000000011,24.5811898099
