TLP,vout_max,TLP,Vpeak [V]
299,67.37,350,71.03225431
300,67.47,360,70.92009108
301,67.57,370,71.35987628
302,67.66,380,72.65813521
303,67.74,390,72.36712684
304,67.83,400,73.78320407
305,67.92,410,72.86754863
306,68.01,420,75.37212529
307,68.1,430,74.50936781
308,68.2,440,76.46509881
309,68.46,450,75.29742367
310,68.54,460,76.87588862
311,68.61,470,76.99425467
312,68.68,480,77.22152363
313,68.76,490,80.3336529
314,68.83,500,80.09746238
315,68.9,,
316,68.97,,
317,69.05,,
318,69.12,,
319,69.19,,
320,69.27,,
321,69.34,,
322,69.41,,
323,69.48,,
324,69.55,,
325,69.63,,
326,69.7,,
327,69.77,,
328,69.84,,
329,69.91,,
330,69.99,,
331,70.06,,
332,70.13,,
333,70.2,,
334,70.27,,
335,70.35,,
336,70.42,,
337,70.49,,
338,70.56,,
339,70.64,,
340,70.71,,
341,70.78,,
342,70.86,,
343,70.93,,
344,71,,
345,71.07,,
346,71.15,,
347,71.22,,
348,71.29,,
349,71.36,,
350,71.43,,
351,71.51,,
352,71.58,,
353,71.65,,
354,71.72,,
355,71.8,,
356,71.87,,
357,71.94,,
358,72.02,,
359,72.09,,
360,72.16,,
361,72.24,,
362,72.31,,
363,72.43,,
364,72.51,,
365,72.6,,
366,72.68,,
367,72.77,,
368,72.85,,
369,72.93,,
370,73.01,,
371,73.09,,
372,73.17,,
373,73.25,,
374,73.33,,
375,73.41,,
376,73.48,,
377,73.53,,
378,73.61,,
379,73.69,,
380,73.76,,
381,73.84,,
382,73.92,,
383,74,,
384,74.08,,
385,74.15,,
386,74.23,,
387,74.31,,
388,74.39,,
389,74.47,,
390,74.54,,
391,74.62,,
392,74.7,,
393,74.78,,
394,74.85,,
395,74.93,,
396,75.01,,
397,75.09,,
398,75.16,,
399,75.24,,
400,75.32,,
401,75.39,,
402,75.53,,
403,75.6,,
404,75.67,,
405,75.74,,
406,75.82,,
407,75.89,,
408,75.97,,
409,76.04,,
410,76.11,,
411,76.19,,
412,76.27,,
413,76.34,,
414,76.42,,
415,76.49,,
416,76.57,,
417,76.65,,
418,76.72,,
419,76.8,,
420,76.88,,
421,76.95,,
422,77.03,,
423,77.11,,
424,77.18,,
425,77.26,,
426,77.34,,
427,77.41,,
428,77.49,,
429,77.57,,
430,77.65,,
431,77.72,,
432,77.8,,
433,77.88,,
434,77.96,,
435,78.03,,
436,78.11,,
437,78.19,,
438,78.26,,
439,78.34,,
440,78.42,,
441,78.49,,
442,78.57,,
443,78.65,,
444,78.72,,
445,78.8,,
446,78.88,,
447,78.95,,
448,79.03,,
449,79.11,,
450,79.18,,
451,79.26,,
452,79.34,,
453,79.41,,
454,79.49,,
455,79.57,,
456,79.65,,
457,79.72,,
458,79.8,,
459,79.88,,
460,79.95,,
461,80.03,,
462,80.11,,
463,80.18,,
464,80.26,,
465,80.34,,
466,80.42,,
467,80.49,,
468,80.57,,
469,80.65,,
470,80.73,,
471,80.8,,
472,80.88,,
473,80.96,,
474,81.04,,
475,81.11,,
476,81.19,,
477,81.27,,
478,81.35,,
479,81.43,,
480,81.51,,
481,81.59,,
482,81.66,,
483,81.74,,
484,81.82,,
