time,vout,iout,
5.7E-09,2.43E-02,-4.85E-04,#REF!
5.71E-09,1.80E-02,-3.60E-04,#REF!
5.71E-09,1.33E-02,-2.67E-04,#REF!
5.72E-09,9.89E-03,-1.98E-04,#REF!
5.73E-09,7.33E-03,-1.47E-04,#REF!
5.73E-09,5.43E-03,-1.09E-04,#REF!
5.74E-09,4.03E-03,-8.05E-05,#REF!
5.74E-09,2.99E-03,-5.97E-05,#REF!
5.75E-09,2.21E-03,-4.43E-05,#REF!
5.75E-09,1.64E-03,-3.28E-05,#REF!
5.76E-09,1.22E-03,-2.43E-05,#REF!
5.76E-09,9.02E-04,-1.80E-05,#REF!
5.77E-09,6.68E-04,-1.34E-05,#REF!
5.77E-09,4.96E-04,-9.91E-06,#REF!
5.78E-09,3.67E-04,-7.35E-06,#REF!
5.78E-09,2.72E-04,-5.45E-06,#REF!
5.79E-09,2.02E-04,-4.04E-06,#REF!
5.79E-09,1.50E-04,-2.99E-06,#REF!
5.8E-09,1.11E-04,-2.22E-06,#REF!
5.81E-09,8.22E-05,-1.65E-06,#REF!
5.81E-09,6.10E-05,-1.22E-06,#REF!
5.82E-09,4.52E-05,-9.04E-07,#REF!
5.82E-09,3.35E-05,-6.70E-07,#REF!
5.83E-09,2.48E-05,-4.97E-07,#REF!
5.83E-09,1.84E-05,-3.68E-07,#REF!
5.84E-09,1.37E-05,-2.73E-07,#REF!
5.84E-09,1.01E-05,-2.02E-07,#REF!
5.85E-09,7.50E-06,-1.50E-07,#REF!
5.85E-09,5.56E-06,-1.11E-07,#REF!
5.86E-09,4.12E-06,-8.24E-08,#REF!
5.86E-09,3.06E-06,-6.11E-08,#REF!
5.87E-09,2.27E-06,-4.53E-08,#REF!
5.88E-09,1.68E-06,-3.36E-08,#REF!
5.88E-09,1.25E-06,-2.49E-08,#REF!
5.89E-09,9.23E-07,-1.85E-08,#REF!
5.89E-09,6.84E-07,-1.37E-08,#REF!
5.9E-09,5.07E-07,-1.01E-08,#REF!
5.9E-09,3.76E-07,-7.52E-09,#REF!
5.91E-09,2.79E-07,-5.57E-09,#REF!
5.91E-09,2.07E-07,-4.13E-09,#REF!
5.92E-09,1.53E-07,-3.06E-09,#REF!
5.92E-09,1.14E-07,-2.27E-09,#REF!
5.93E-09,8.42E-08,-1.68E-09,#REF!
5.93E-09,6.24E-08,-1.25E-09,#REF!
5.94E-09,4.63E-08,-9.25E-10,#REF!
5.95E-09,3.43E-08,-6.86E-10,#REF!
5.95E-09,2.54E-08,-5.08E-10,#REF!
5.96E-09,1.88E-08,-3.77E-10,#REF!
5.96E-09,1.39E-08,-2.78E-10,#REF!
5.96E-09,1.23E-08,-2.45E-10,#REF!
5.97E-09,1.08E-08,-2.15E-10,#REF!
5.97E-09,8.81E-09,-1.76E-10,#REF!
5.97E-09,7.51E-09,-1.50E-10,#REF!
5.98E-09,6.00E-09,-1.20E-10,#REF!
5.98E-09,4.93E-09,-9.86E-11,#REF!
5.99E-09,3.77E-09,-7.53E-11,#REF!
6.01E-09,1.95E-09,-3.91E-11,#REF!
6.03E-09,9.43E-10,-1.89E-11,#REF!
6.05E-09,4.55E-10,-9.11E-12,#REF!
6.07E-09,2.20E-10,-4.40E-12,#REF!
6.09E-09,1.06E-10,-2.12E-12,#REF!
6.11E-09,5.13E-11,-1.03E-12,#REF!
6.13E-09,2.48E-11,-4.95E-13,#REF!
6.15E-09,1.20E-11,-2.39E-13,#REF!
6.17E-09,5.78E-12,-1.16E-13,#REF!
6.19E-09,2.79E-12,-5.58E-14,#REF!
6.21E-09,1.35E-12,-2.69E-14,#REF!
6.23E-09,6.51E-13,-1.30E-14,#REF!
6.25E-09,3.14E-13,-6.28E-15,#REF!
6.27E-09,1.52E-13,-3.03E-15,#REF!
6.29E-09,7.33E-14,-1.47E-15,#REF!
6.31E-09,3.54E-14,-7.08E-16,#REF!
6.33E-09,1.71E-14,-3.42E-16,#REF!
6.35E-09,8.25E-15,-1.65E-16,#REF!
6.37E-09,3.99E-15,-7.97E-17,#REF!
6.39E-09,1.92E-15,-3.85E-17,#REF!
6.41E-09,9.29E-16,-1.86E-17,#REF!
6.43E-09,4.49E-16,-8.98E-18,#REF!
6.45E-09,2.17E-16,-4.33E-18,#REF!
6.47E-09,1.05E-16,-2.09E-18,#REF!
6.49E-09,5.05E-17,-1.01E-18,#REF!
6.51E-09,2.44E-17,-4.88E-19,#REF!
6.53E-09,1.18E-17,-2.36E-19,#REF!
6.55E-09,5.69E-18,-1.14E-19,#REF!
6.57E-09,2.75E-18,-5.50E-20,#REF!
6.59E-09,1.33E-18,-2.66E-20,#REF!
6.61E-09,6.41E-19,-1.28E-20,#REF!
6.63E-09,3.10E-19,-6.19E-21,#REF!
6.65E-09,1.50E-19,-2.99E-21,#REF!
6.67E-09,7.22E-20,-1.45E-21,#REF!
6.69E-09,3.49E-20,-6.98E-22,#REF!
6.71E-09,1.69E-20,-3.38E-22,#REF!
6.73E-09,8.17E-21,-1.64E-22,#REF!
6.75E-09,3.97E-21,-7.94E-23,#REF!
6.77E-09,1.94E-21,-3.88E-23,#REF!
6.79E-09,9.57E-22,-1.91E-23,#REF!
6.81E-09,4.83E-22,-9.67E-24,#REF!
6.83E-09,2.55E-22,-5.09E-24,#REF!
6.85E-09,1.44E-22,-2.88E-24,#REF!
6.87E-09,9.06E-23,-1.81E-24,#REF!
6.89E-09,6.47E-23,-1.29E-24,#REF!
